Time,Vehicle Count
00:00:00 - 00:15:00,4
00:15:00 - 00:30:00,0
00:30:00 - 00:45:00,2
00:45:00 - 01:00:00,1
01:00:00 - 01:15:00,1
01:15:00 - 01:30:00,1
01:30:00 - 01:45:00,2
01:45:00 - 02:00:00,0
02:00:00 - 02:15:00,0
02:15:00 - 02:30:00,4
02:30:00 - 02:45:00,1
02:45:00 - 03:00:00,0
03:00:00 - 03:15:00,5
03:15:00 - 03:30:00,0
03:30:00 - 03:45:00,0
03:45:00 - 04:00:00,0
04:00:00 - 04:15:00,1
04:15:00 - 04:30:00,1
04:30:00 - 04:45:00,1
04:45:00 - 05:00:00,3
05:00:00 - 05:15:00,2
05:15:00 - 05:30:00,2
05:30:00 - 05:45:00,4
05:45:00 - 06:00:00,1
06:00:00 - 06:15:00,3
06:15:00 - 06:30:00,5
06:30:00 - 06:45:00,13
06:45:00 - 07:00:00,27
07:00:00 - 07:15:00,22
07:15:00 - 07:30:00,30
07:30:00 - 07:45:00,32
07:45:00 - 08:00:00,36
08:00:00 - 08:15:00,44
08:15:00 - 08:30:00,42
08:30:00 - 08:45:00,34
08:45:00 - 09:00:00,41
09:00:00 - 00:15:00,36
09:15:00 - 09:30:00,21
09:30:00 - 09:45:00,27
09:45:00 - 10:00:00,39
10:00:00 - 10:15:00,41
10:15:00 - 10:30:00,37
10:30:00 - 10:45:00,44
10:45:00 - 11:00:00,38
11:00:00 - 11:15:00,37
11:15:00 - 11:30:00,29
11:30:00 - 11:45:00,55
11:45:00 - 12:00:00,49
12:00:00 - 12:15:00,46
12:15:00 - 12:30:00,70
12:30:00 - 12:45:00,62
12:45:00 - 13:00:00,67
13:00:00 - 13:15:00,90
13:15:00 - 13:30:00,62
13:30:00 - 13:45:00,64
13:45:00 - 14:00:00,81
14:00:00 - 14:15:00,82
14:15:00 - 14:30:00,93
14:30:00 - 14:45:00,96
14:45:00 - 15:00:00,77
15:00:00 - 15:15:00,72
15:15:00 - 15:30:00,96
15:30:00 - 15:45:00,92
15:45:00 - 16:00:00,93
16:00:00 - 16:15:00,79
16:15:00 - 16:30:00,81
16:30:00 - 16:45:00,80
16:45:00 - 17:00:00,83
17:00:00 - 17:15:00,85
17:15:00 - 17:30:00,78
17:30:00 - 17:45:00,72
17:45:00 - 18:00:00,115
18:00:00 - 18:15:00,95
18:15:00 - 18:30:00,92
18:30:00 - 18:45:00,83
18:45:00 - 19:00:00,67
19:00:00 - 19:15:00,60
19:15:00 - 19:30:00,69
19:30:00 - 19:45:00,70
19:45:00 - 20:00:00,51
20:00:00 - 20:15:00,48
20:15:00 - 20:30:00,51
20:30:00 - 20:45:00,52
20:45:00 - 21:00:00,57
21:00:00 - 21:15:00,47
21:15:00 - 21:30:00,50
21:30:00 - 21:45:00,60
21:45:00 - 22:00:00,52
22:00:00 - 22:15:00,35
22:15:00 - 22:30:00,29
22:30:00 - 22:45:00,31
22:45:00 - 23:00:00,19
23:00:00 - 23:15:00,20
23:15:00 - 23:30:00,16
23:30:00 - 23:45:00,11
23:45:00 - 00:00:00,7
